Specialized_sys,Option,Preset,Video,Encoding_time
slower,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=slower,measures/in/original_04.mkv,2.2328
slower,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=slower,measures/in/original_07.mkv,3.8993
slower,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=slower,measures/in/original_03.mkv,10.8402
slower,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=slower,measures/in/original_05.mkv,6.3723
slower,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=slower,measures/in/original_02.mkv,2.9791
slower,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=slower,measures/in/original_06.mkv,0.5120
slower,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=slower,measures/in/original_08.mkv,9.0776
fast,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=fast,measures/in/original_01.mkv,1.3960
fast,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=fast,measures/in/original_04.mkv,0.9634
fast,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=fast,measures/in/original_07.mkv,1.4126
fast,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=fast,measures/in/original_03.mkv,2.2266
fast,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=fast,measures/in/original_05.mkv,2.1208
fast,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=fast,measures/in/original_02.mkv,1.2608
fast,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=fast,measures/in/original_06.mkv,0.3544
fast,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=fast,measures/in/original_08.mkv,2.3365
