System,Option,FromFile,Preset,Video,EncodingTime,EncodingBitrate,FPS
specialized,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",veryslow,veryslow,measures/in/original_05.mkv,13.2800,1107.48,39.94
specialized,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",veryslow,veryslow,measures/in/original_02.mkv,5.6107,157.07,101.64
specialized,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",veryslow,veryslow,measures/in/original_06.mkv,0.8440,47.38,161.39
specialized,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",veryslow,veryslow,measures/in/original_08.mkv,17.2256,1591.20,31.30
specialized,['CABAC_NO'],cabacno,superfast,measures/in/original_01.mkv,0.4579,1882.26,566.71
specialized,['CABAC_NO'],cabacno,superfast,measures/in/original_04.mkv,0.3834,577.76,1603.96
specialized,['CABAC_NO'],cabacno,superfast,measures/in/original_07.mkv,0.5084,664.53,1625.03
specialized,['CABAC_NO'],cabacno,superfast,measures/in/original_03.mkv,0.5876,2279.32,964.44
specialized,['CABAC_NO'],cabacno,superfast,measures/in/original_05.mkv,0.5655,1452.48,1079.36
specialized,['CABAC_NO'],cabacno,superfast,measures/in/original_02.mkv,0.4271,511.41,1814.36
specialized,['CABAC_NO'],cabacno,superfast,measures/in/original_06.mkv,0.1480,140.00,1754.00
specialized,['CABAC_NO'],cabacno,superfast,measures/in/original_08.mkv,0.6531,1825.88,862.97
specialized,['CABAC_NO'],cabacno,veryfast,measures/in/original_01.mkv,0.7361,1185.49,325.78
specialized,['CABAC_NO'],cabacno,veryfast,measures/in/original_04.mkv,0.4516,215.62,1393.17
specialized,['CABAC_NO'],cabacno,veryfast,measures/in/original_07.mkv,0.6795,323.88,1047.45
specialized,['CABAC_NO'],cabacno,veryfast,measures/in/original_03.mkv,1.0581,2410.79,499.55
specialized,['CABAC_NO'],cabacno,veryfast,measures/in/original_05.mkv,0.9833,1178.82,542.93
specialized,['CABAC_NO'],cabacno,veryfast,measures/in/original_02.mkv,0.6159,262.90,1140.12
specialized,['CABAC_NO'],cabacno,veryfast,measures/in/original_06.mkv,0.1583,50.17,1632.74
specialized,['CABAC_NO'],cabacno,veryfast,measures/in/original_08.mkv,1.0640,1613.72,511.28
specialized,['CABAC_NO'],cabacno,faster,measures/in/original_01.mkv,0.9168,1195.93,250.68
specialized,['CABAC_NO'],cabacno,faster,measures/in/original_04.mkv,0.6377,257.18,901.23
specialized,['CABAC_NO'],cabacno,faster,measures/in/original_07.mkv,0.9887,357.80,679.44
specialized,['CABAC_NO'],cabacno,faster,measures/in/original_03.mkv,1.6139,2465.54,320.09
specialized,['CABAC_NO'],cabacno,faster,measures/in/original_05.mkv,1.3555,1221.03,395.79
specialized,['CABAC_NO'],cabacno,faster,measures/in/original_02.mkv,0.9105,309.50,737.78
specialized,['CABAC_NO'],cabacno,faster,measures/in/original_06.mkv,0.2013,71.18,1070.78
specialized,['CABAC_NO'],cabacno,faster,measures/in/original_08.mkv,1.5310,1686.97,347.95
specialized,['CABAC_NO'],cabacno,fast,measures/in/original_01.mkv,1.4683,1178.70,170.34
specialized,['CABAC_NO'],cabacno,fast,measures/in/original_04.mkv,0.9422,285.09,671.92
specialized,['CABAC_NO'],cabacno,fast,measures/in/original_07.mkv,1.3094,381.23,495.54
specialized,['CABAC_NO'],cabacno,fast,measures/in/original_03.mkv,2.2513,2478.86,224.92
specialized,['CABAC_NO'],cabacno,fast,measures/in/original_05.mkv,1.8366,1239.66,286.44
specialized,['CABAC_NO'],cabacno,fast,measures/in/original_02.mkv,1.2720,347.19,508.88
specialized,['CABAC_NO'],cabacno,fast,measures/in/original_06.mkv,0.2475,80.21,812.69
specialized,['CABAC_NO'],cabacno,fast,measures/in/original_08.mkv,2.1566,1585.01,241.32
specialized,['CABAC_NO'],cabacno,medium,measures/in/original_01.mkv,1.6184,1179.18,134.32
specialized,['CABAC_NO'],cabacno,medium,measures/in/original_04.mkv,1.1341,292.54,491.30
specialized,['CABAC_NO'],cabacno,medium,measures/in/original_07.mkv,1.5742,373.51,408.57
specialized,['CABAC_NO'],cabacno,medium,measures/in/original_03.mkv,2.8521,2460.31,163.88
specialized,['CABAC_NO'],cabacno,medium,measures/in/original_05.mkv,2.4249,1197.77,218.11
specialized,['CABAC_NO'],cabacno,medium,measures/in/original_02.mkv,1.6115,318.83,403.14
specialized,['CABAC_NO'],cabacno,medium,measures/in/original_06.mkv,0.2959,86.74,635.70
specialized,['CABAC_NO'],cabacno,medium,measures/in/original_08.mkv,2.6718,1574.94,193.98
specialized,['CABAC_NO'],cabacno,slow,measures/in/original_01.mkv,2.9777,1195.73,69.74
specialized,['CABAC_NO'],cabacno,slow,measures/in/original_04.mkv,1.6028,294.94,333.75
specialized,['CABAC_NO'],cabacno,slow,measures/in/original_07.mkv,2.2183,369.05,286.78
specialized,['CABAC_NO'],cabacno,slow,measures/in/original_03.mkv,4.9660,2454.72,99.35
specialized,['CABAC_NO'],cabacno,slow,measures/in/original_05.mkv,3.2913,1186.29,149.29
specialized,['CABAC_NO'],cabacno,slow,measures/in/original_02.mkv,2.1491,302.13,295.41
specialized,['CABAC_NO'],cabacno,slow,measures/in/original_06.mkv,0.3904,87.63,404.12
specialized,['CABAC_NO'],cabacno,slow,measures/in/original_08.mkv,4.6840,1535.36,111.88
specialized,['CABAC_NO'],cabacno,slower,measures/in/original_01.mkv,3.8021,577.72,56.57
specialized,['CABAC_NO'],cabacno,slower,measures/in/original_04.mkv,2.4052,292.84,215.77
specialized,['CABAC_NO'],cabacno,slower,measures/in/original_07.mkv,3.8572,364.79,160.29
specialized,['CABAC_NO'],cabacno,slower,measures/in/original_03.mkv,10.0862,2445.12,47.50
specialized,['CABAC_NO'],cabacno,slower,measures/in/original_05.mkv,6.4916,1170.67,78.86
specialized,['CABAC_NO'],cabacno,slower,measures/in/original_02.mkv,3.4715,307.46,176.73
specialized,['CABAC_NO'],cabacno,slower,measures/in/original_06.mkv,0.4845,81.69,295.44
specialized,['CABAC_NO'],cabacno,slower,measures/in/original_08.mkv,8.9603,1564.86,55.39
specialized,['CABAC_NO'],cabacno,veryslow,measures/in/original_01.mkv,7.3890,796.79,28.90
specialized,['CABAC_NO'],cabacno,veryslow,measures/in/original_04.mkv,5.1246,275.76,114.02
specialized,['CABAC_NO'],cabacno,veryslow,measures/in/original_07.mkv,8.2610,344.72,75.43
specialized,['CABAC_NO'],cabacno,veryslow,measures/in/original_03.mkv,21.1024,2323.47,24.53
specialized,['CABAC_NO'],cabacno,veryslow,measures/in/original_05.mkv,13.5277,1123.99,39.92
specialized,['CABAC_NO'],cabacno,veryslow,measures/in/original_02.mkv,6.8633,274.33,82.15
specialized,['CABAC_NO'],cabacno,veryslow,measures/in/original_06.mkv,0.8875,69.89,149.70
specialized,['CABAC_NO'],cabacno,veryslow,measures/in/original_08.mkv,17.6927,1535.08,29.58
specialized,['CABAC_NO'],cabacno,placebo,measures/in/original_01.mkv,20.3515,356.13,9.96
specialized,['CABAC_NO'],cabacno,placebo,measures/in/original_04.mkv,20.9390,285.72,24.34
specialized,['CABAC_NO'],cabacno,placebo,measures/in/original_07.mkv,39.6423,354.53,15.29
specialized,['CABAC_NO'],cabacno,placebo,measures/in/original_03.mkv,60.5805,2326.55,8.14
specialized,['CABAC_NO'],cabacno,placebo,measures/in/original_05.mkv,39.2125,1131.56,12.51
specialized,['CABAC_NO'],cabacno,placebo,measures/in/original_02.mkv,23.3792,282.93,26.86
specialized,['CABAC_NO'],cabacno,placebo,measures/in/original_06.mkv,3.0805,71.20,38.30
specialized,['CABAC_NO'],cabacno,placebo,measures/in/original_08.mkv,78.0073,1485.87,5.93
specialized,['MBTREE_NO'],mbtreeno,veryfast,measures/in/original_01.mkv,1.3104,1000.18,331.98
specialized,['MBTREE_NO'],mbtreeno,veryfast,measures/in/original_04.mkv,0.5297,157.25,1316.23
specialized,['MBTREE_NO'],mbtreeno,veryfast,measures/in/original_07.mkv,0.8144,261.15,965.07
specialized,['MBTREE_NO'],mbtreeno,veryfast,measures/in/original_03.mkv,1.2326,3030.37,416.50
specialized,['MBTREE_NO'],mbtreeno,veryfast,measures/in/original_05.mkv,1.1373,1154.41,503.31
specialized,['MBTREE_NO'],mbtreeno,veryfast,measures/in/original_02.mkv,0.6162,142.70,1083.23
specialized,['MBTREE_NO'],mbtreeno,veryfast,measures/in/original_06.mkv,0.1786,44.67,1520.53
specialized,['MBTREE_NO'],mbtreeno,veryfast,measures/in/original_08.mkv,1.2273,1716.46,434.07
specialized,['MBTREE_NO'],mbtreeno,faster,measures/in/original_01.mkv,0.8526,1021.50,256.69
specialized,['MBTREE_NO'],mbtreeno,faster,measures/in/original_04.mkv,0.6854,154.18,777.74
specialized,['MBTREE_NO'],mbtreeno,faster,measures/in/original_07.mkv,1.0573,265.77,653.12
specialized,['MBTREE_NO'],mbtreeno,faster,measures/in/original_03.mkv,1.8792,3063.35,269.86
specialized,['MBTREE_NO'],mbtreeno,faster,measures/in/original_05.mkv,1.4674,1172.60,367.21
specialized,['MBTREE_NO'],mbtreeno,faster,measures/in/original_02.mkv,0.9393,167.59,738.65
specialized,['MBTREE_NO'],mbtreeno,faster,measures/in/original_06.mkv,0.2177,48.59,898.63
specialized,['MBTREE_NO'],mbtreeno,faster,measures/in/original_08.mkv,1.7416,1776.02,294.29
specialized,['MBTREE_NO'],mbtreeno,fast,measures/in/original_01.mkv,1.2595,1020.28,193.74
specialized,['MBTREE_NO'],mbtreeno,fast,measures/in/original_04.mkv,0.8807,154.10,664.43
specialized,['MBTREE_NO'],mbtreeno,fast,measures/in/original_07.mkv,1.3952,272.89,488.90
specialized,['MBTREE_NO'],mbtreeno,fast,measures/in/original_03.mkv,2.7028,3067.71,185.99
specialized,['MBTREE_NO'],mbtreeno,fast,measures/in/original_05.mkv,2.0730,1198.20,245.74
specialized,['MBTREE_NO'],mbtreeno,fast,measures/in/original_02.mkv,1.1933,178.76,586.93
specialized,['MBTREE_NO'],mbtreeno,fast,measures/in/original_06.mkv,0.2477,49.53,759.71
specialized,['MBTREE_NO'],mbtreeno,fast,measures/in/original_08.mkv,2.4720,1583.74,212.54
specialized,['MBTREE_NO'],mbtreeno,medium,measures/in/original_01.mkv,1.4713,1021.28,153.65
specialized,['MBTREE_NO'],mbtreeno,medium,measures/in/original_04.mkv,1.1301,157.49,534.16
specialized,['MBTREE_NO'],mbtreeno,medium,measures/in/original_07.mkv,1.6154,271.20,418.73
specialized,['MBTREE_NO'],mbtreeno,medium,measures/in/original_03.mkv,3.0890,3056.34,153.15
specialized,['MBTREE_NO'],mbtreeno,medium,measures/in/original_05.mkv,2.5165,1158.20,210.70
specialized,['MBTREE_NO'],mbtreeno,medium,measures/in/original_02.mkv,1.3683,167.45,455.52
specialized,['MBTREE_NO'],mbtreeno,medium,measures/in/original_06.mkv,0.2836,50.85,586.58
specialized,['MBTREE_NO'],mbtreeno,medium,measures/in/original_08.mkv,2.9669,1567.52,177.42
specialized,['MBTREE_NO'],mbtreeno,slow,measures/in/original_01.mkv,2.7880,1039.81,74.57
specialized,['MBTREE_NO'],mbtreeno,slow,measures/in/original_04.mkv,1.6084,152.03,318.48
specialized,['MBTREE_NO'],mbtreeno,slow,measures/in/original_07.mkv,2.1505,266.19,271.35
